framework,problem,seed,n_evals,hypervolume
VAMOS (numba),zdt1,2,31000,0.9901425552735414
VAMOS (numba),zdt1,2,32000,0.9898741129029701
VAMOS (numba),zdt1,2,33000,0.9890756635691313
VAMOS (numba),zdt1,2,34000,0.9900861914309137
VAMOS (numba),zdt1,2,35000,0.9904103112429715
VAMOS (numba),zdt1,2,36000,0.9908584813464761
VAMOS (numba),zdt1,2,37000,0.9911394602211583
VAMOS (numba),zdt1,2,38000,0.9905829928188324
VAMOS (numba),zdt1,2,39000,0.9909815873884681
VAMOS (numba),zdt1,2,40000,0.9905736612540035
VAMOS (numba),zdt1,2,41000,0.9906184427224066
VAMOS (numba),zdt1,2,42000,0.9911566157383895
VAMOS (numba),zdt1,2,43000,0.9901011137974793
VAMOS (numba),zdt1,2,44000,0.9899158824066698
VAMOS (numba),zdt1,2,45000,0.9905347658141126
VAMOS (numba),zdt1,2,46000,0.9910569528308795
VAMOS (numba),zdt1,2,47000,0.9911379167382474
VAMOS (numba),zdt1,2,48000,0.9907739241412558
VAMOS (numba),zdt1,2,49000,0.9913365978183776
VAMOS (numba),zdt1,2,50000,0.9910706060156397
pymoo,zdt1,2,1000,0.0
pymoo,zdt1,2,2000,0.04753920990452542
pymoo,zdt1,2,3000,0.34088880837468855
pymoo,zdt1,2,4000,0.5016860372840143
pymoo,zdt1,2,5000,0.575219487613499
pymoo,zdt1,2,6000,0.6222353885895229
pymoo,zdt1,2,7000,0.6540821570917728
pymoo,zdt1,2,8000,0.6819713192745859
pymoo,zdt1,2,9000,0.7016114376747944
pymoo,zdt1,2,10000,0.7166570873467559
pymoo,zdt1,2,11000,0.7311402992477117
pymoo,zdt1,2,12000,0.7435548454584695
pymoo,zdt1,2,13000,0.7589715129204077
pymoo,zdt1,2,14000,0.787277627556091
pymoo,zdt1,2,15000,0.8085226933303487
pymoo,zdt1,2,16000,0.8252916154004708
pymoo,zdt1,2,17000,0.8369667429033113
pymoo,zdt1,2,18000,0.8443450622514173
pymoo,zdt1,2,19000,0.8487575185794832
pymoo,zdt1,2,20000,0.8513611912673399
pymoo,zdt1,2,21000,0.8590667715606752
pymoo,zdt1,2,22000,0.8838006078794396
pymoo,zdt1,2,23000,0.8974236283572206
pymoo,zdt1,2,24000,0.9051499549215255
pymoo,zdt1,2,25000,0.9118058660270826
pymoo,zdt1,2,26000,0.9175765888568893
pymoo,zdt1,2,27000,0.9275215714839886
pymoo,zdt1,2,28000,0.9315182624982925
pymoo,zdt1,2,29000,0.9343232504186304
pymoo,zdt1,2,30000,0.9394477567460016
pymoo,zdt1,2,31000,0.9568335266588591
pymoo,zdt1,2,32000,0.9581980839021249
pymoo,zdt1,2,33000,0.9588446693525917
pymoo,zdt1,2,34000,0.9600121909261792
pymoo,zdt1,2,35000,0.960692484437307
