variant,problem,engine,n_evals,seed,evals,runtime_seconds,hypervolume
baseline,zdt1,numba,100000,21,50000,2.3668384379998315,0.9905800140890684
baseline,zdt1,numba,100000,21,100000,3.2444287670005,0.9907941740904876
baseline,zdt1,numba,100000,22,5000,1.5822446570018656,0.630798533894255
baseline,zdt1,numba,100000,22,10000,1.665164944002754,0.9636302531332508
baseline,zdt1,numba,100000,22,20000,1.8405837239988612,0.9871121265432004
baseline,zdt1,numba,100000,22,50000,2.3688192299960065,0.9907521567146148
baseline,zdt1,numba,100000,22,100000,3.249321235001844,0.9903182232006892
baseline,zdt1,numba,100000,23,5000,1.5816828030001489,0.8088410902024531
baseline,zdt1,numba,100000,23,10000,1.6671326180003234,0.9650956737446672
baseline,zdt1,numba,100000,23,20000,1.841408248001244,0.9883160166148024
