suite,host,problem,left_variant,right_variant,comparison_name,comparison_kind,hv_gap,runtime_ratio,reward_gap,igd_plus_gap,outcome
zcat,moead,zcat14,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_sbx,hierarchical_vs_fixed_family_sbx,pairwise,-0.7837507968092225,1.0302047783534314,-0.030629093655930417,0.004294437478036706,loss
zcat,moead,zcat14,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_de,hierarchical_vs_fixed_family_de,pairwise,0.27358560699665446,1.0077668619337143,0.008527934216297994,-0.20270085155950468,win
zcat,moead,zcat14,adaptive_hierarchical_joint_fixed_family_sbx,adaptive_flat_parameter,fixed_family_sbx_vs_flat_parameter,pairwise,0.0,0.9507550602388026,0.0,0.0,tie
zcat,moead,zcat19,adaptive_flat_operator,fixed_sbx,adaptive_flat_operator_vs_best_fixed,vs_best_fixed,-0.2527464408058826,4.295827864172981,0.3215538249182476,0.10344069332103045,loss
zcat,moead,zcat19,adaptive_flat_parameter,fixed_sbx,adaptive_flat_parameter_vs_best_fixed,vs_best_fixed,1.4455106219765455,4.198273404207615,0.35400951573713196,-0.11232905880665278,win
zcat,moead,zcat19,adaptive_hierarchical_joint,fixed_sbx,adaptive_hierarchical_joint_vs_best_fixed,vs_best_fixed,0.4465432927821311,4.109153019772224,0.289783206470759,0.044345036844471664,win
zcat,moead,zcat19,adaptive_hierarchical_joint_fixed_family_de,fixed_sbx,adaptive_hierarchical_joint_fixed_family_de_vs_best_fixed,vs_best_fixed,1.1503884597280702,4.547845072578316,0.2930929648770745,0.011868015439540303,win
zcat,moead,zcat19,adaptive_hierarchical_joint_fixed_family_sbx,fixed_sbx,adaptive_hierarchical_joint_fixed_family_sbx_vs_best_fixed,vs_best_fixed,1.4455106219765455,4.416157449420443,0.35400951573713196,-0.11232905880665278,win
zcat,moead,zcat19,adaptive_hierarchical_joint_no_regime,fixed_sbx,adaptive_hierarchical_joint_no_regime_vs_best_fixed,vs_best_fixed,1.0807132608614864,4.174942376104108,0.29084994278252313,-0.01817452430964117,win
zcat,moead,zcat19,adaptive_hierarchical_joint,adaptive_flat_operator,hierarchical_vs_flat_operator,pairwise,0.6992897335880137,0.9565450827400191,-0.031770618447488574,-0.05909565647655879,win
zcat,moead,zcat19,adaptive_hierarchical_joint,adaptive_flat_parameter,hierarchical_vs_flat_parameter,pairwise,-0.9989673291944143,0.9787721341954356,-0.06422630926637296,0.15667409565112445,loss
zcat,moead,zcat19,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,hierarchical_vs_no_regime,pairwise,-0.6341699680793553,0.9842418528436611,-0.001066736311764127,0.06251956115411283,loss
zcat,moead,zcat19,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_sbx,hierarchical_vs_fixed_family_sbx,pairwise,-0.9989673291944143,0.9304815480053797,-0.06422630926637296,0.15667409565112445,loss
zcat,moead,zcat19,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_de,hierarchical_vs_fixed_family_de,pairwise,-0.7038451669459391,0.9035384790367574,-0.0033097584063154772,0.03247702140493136,loss
